PII nr 0 True entity idx (action) in pool: 0 
 Action 3, score:  9.048229237253378e-05
 Action 0, score:  9.046398502375399e-05
 Action 5, score:  9.04438690797958e-05
 Action 0, score:  9.047354147436895e-05
 Action 0, score:  9.046220241413851e-05
 Action 4, score:  9.047242097689637e-05
 Action 2, score:  9.047058431731005e-05
 Action 4, score:  9.046727895370818e-05
 Action 1, score:  9.047817418052415e-05
 Action 3, score:  9.047680526107018e-05
 Action 4, score:  9.045199320618329e-05
 Action 2, score:  9.04567090661398e-05
 Action 1, score:  9.044952042001699e-05
 Action 4, score:  9.045423316170595e-05
 Action 2, score:  9.045674856419541e-05
 Action 1, score:  9.045733271964959e-05
 Action 2, score:  9.045931489838819e-05
 Action 1, score:  9.046000507493903e-05
 Action 0, score:  9.046004561241716e-05
 Action 2, score:  9.046006951913503e-05
 Action 1, score:  9.046006120375491e-05
 Action 0, score:  9.045999260186883e-05
 Action 4, score:  9.046011317488072e-05
 Action 0, score:  9.046007679509265e-05
 Action 5, score:  9.046011005661317e-05
 Action 2, score:  9.046009654412046e-05
 Action 4, score:  9.046004665183968e-05
 Action 4, score:  9.046006016433239e-05
 Action 0, score:  9.045992192113772e-05
 Action 1, score:  9.045999675955889e-05
 Action 0, score:  9.046007263740259e-05
 Action 2, score:  9.046008095278271e-05
 Action 0, score:  9.046003729703703e-05
 Action 3, score:  9.046012772679595e-05
 Action 2, score:  9.046004873068471e-05
 Action 0, score:  9.046010070181052e-05
 Action 0, score:  9.046002170569929e-05
 Action 1, score:  9.046009134700788e-05
 Action 4, score:  9.046004041530458e-05
 Action 4, score:  9.046005288837478e-05
 Action 0, score:  9.046015267293634e-05
 Action 2, score:  9.04600549672198e-05
 Action 4, score:  9.046003106050193e-05
 Action 1, score:  9.04601183719933e-05
 Action 5, score:  9.046009550469794e-05
 Action 0, score:  9.046001546916418e-05
 Action 0, score:  9.045999779898141e-05
 Action 0, score:  9.046001131147412e-05
 Action 3, score:  9.046005704606484e-05
 Action 3, score:  9.046006328259994e-05
 Action 3, score:  9.046004041530458e-05
 Action 0, score:  9.04600549672198e-05
 Action 2, score:  9.04600549672198e-05
 Action 4, score:  9.046004041530458e-05
 Action 3, score:  9.046008199220523e-05
 Action 2, score:  9.046005600664233e-05
PII nr 5 True entity idx (action) in pool: 0 
 Action 0, score:  3.38941827067174e-05
 Action 3, score:  3.446084701863583e-05
 Action 5, score:  4.2972364705444e-05
 Action 2, score:  4.36928585259011e-05
 Action 0, score:  4.275114770280197e-05
 Action 4, score:  3.273526575261106e-05
 Action 4, score:  4.563417436050562e-05
 Action 5, score:  3.332150057152224e-05
 Action 3, score:  4.7003242798382416e-05
 Action 5, score:  4.523758980212733e-05
 Action 2, score:  4.4147836888441816e-05
 Action 1, score:  4.41185875388328e-05
 Action 1, score:  4.2329753341618925e-05
 Action 1, score:  4.428545435075648e-05
 Action 4, score:  4.574198101181537e-05
 Action 2, score:  4.516718763625249e-05
 Action 1, score:  4.5621764002135023e-05
 Action 1, score:  4.4624004658544436e-05
 Action 3, score:  4.5435179345076904e-05
 Action 1, score:  4.502729279920459e-05
 Action 4, score:  4.466791870072484e-05
 Action 3, score:  4.514326428761706e-05
 Action 2, score:  4.497299960348755e-05
 Action 4, score:  4.569455995806493e-05
 Action 3, score:  4.4998749217484146e-05
 Action 0, score:  4.55995905213058e-05
 Action 1, score:  4.504088428802788e-05
 Action 1, score:  4.525914846453816e-05
 Action 2, score:  4.488880222197622e-05
 Action 5, score:  4.492972220759839e-05
 Action 2, score:  4.501740477280691e-05
 Action 0, score:  4.502125011640601e-05
 Action 0, score:  4.500577051658183e-05
 Action 5, score:  4.498271664488129e-05
 Action 1, score:  4.506146069616079e-05
 Action 2, score:  4.505406104726717e-05
